Economy,Year,Economy Code,Gender Gap (Female - Male),"Labor force with basic education, female (% of female working-age population with basic education)","Labor force with basic education, male (% of male working-age population with basic education)"
Afghanistan,2021,AFG,-56.451,18.875,75.326
Albania,2019,ALB,-15.032,48.268,63.300
Algeria,2017,DZA,-62.450,11.510,73.960
American Samoa,2023,ASM,,,
Andorra,2023,AND,,,
Angola,2021,AGO,-3.584,83.757,87.341
Antigua and Barbuda,2023,ATG,,,
Argentina,2023,ARG,-27.389,35.972,63.361
Armenia,2022,ARM,-8.323,31.047,39.370
Aruba,2023,ABW,,,
Australia,2021,AUS,-17.613,31.439,49.052
Austria,2023,AUT,-19.660,30.857,50.517
Azerbaijan,2023,AZE,,,
"Bahamas, The",2023,BHS,,,
Bahrain,2023,BHR,,,
Bangladesh,2022,BGD,-52.165,23.185,75.350
Barbados,2019,BRB,-10.215,50.145,60.360
Belarus,2022,BLR,-4.043,13.988,18.031
Belgium,2023,BEL,-13.678,19.942,33.620
Belize,2019,BLZ,-31.280,47.598,78.878
Benin,2022,BEN,-5.300,63.400,68.700
Bermuda,2023,BMU,,,
Bhutan,2023,BTN,-20.468,51.046,71.514
Bolivia,2022,BOL,-14.389,65.109,79.498
Bosnia and Herzegovina,2023,BIH,-14.258,19.837,34.095
Botswana,2023,BWA,-12.312,59.015,71.327
Brazil,2023,BRA,-25.378,32.102,57.480
British Virgin Islands,2023,VGB,,,
Brunei Darussalam,2022,BRN,-26.340,31.834,58.174
Bulgaria,2023,BGR,-16.333,19.814,36.147
Burkina Faso,2023,BFA,-12.137,33.162,45.299
Burundi,2020,BDI,-1.359,75.999,77.358
Cabo Verde,2019,CPV,-14.580,54.570,69.150
Cambodia,2021,KHM,-9.664,74.334,83.998
Cameroon,2021,CMR,-11.001,31.317,42.318
Canada,2023,CAN,-13.211,35.792,49.003
Cayman Islands,2015,CYM,-12.510,52.290,64.800
Central African Republic,2023,CAF,,,
Chad,2018,TCD,-16.100,47.109,63.209
Channel Islands,2023,CHI,,,
Chile,2023,CHL,-25.455,31.987,57.442
China,2023,CHN,,,
Colombia,2023,COL,-31.210,36.067,67.277
Comoros,2021,COM,-16.679,28.251,44.930
"Congo, Dem. Rep.",2020,COD,-9.565,57.293,66.858
"Congo, Rep.",2023,COG,,,
Costa Rica,2023,CRI,-33.390,35.735,69.125
Cote d'Ivoire,2022,CIV,-15.415,48.876,64.291
Croatia,2023,HRV,-10.612,11.316,21.928
Cuba,2023,CUB,,,
Curacao,2018,CUW,-13.290,21.810,35.100
Cyprus,2023,CYP,-13.384,28.607,41.991
Czechia,2023,CZE,-11.854,17.738,29.592
Denmark,2023,DNK,-15.930,37.910,53.840
Djibouti,2017,DJI,-21.891,15.819,37.710
Dominica,2023,DMA,,,
Dominican Republic,2023,DOM,-29.646,45.398,75.044
Ecuador,2023,ECU,-26.058,46.600,72.658
"Egypt, Arab Rep.",2022,EGY,-41.799,4.983,46.782
El Salvador,2022,SLV,-32.687,41.847,74.534
Equatorial Guinea,2023,GNQ,,,
Eritrea,2023,ERI,,,
Estonia,2023,EST,-18.028,27.810,45.838
Eswatini,2021,SWZ,-5.518,43.623,49.141
Ethiopia,2023,ETH,,,
Faroe Islands,2023,FRO,,,
Fiji,2016,FJI,-46.802,28.665,75.467
Finland,2023,FIN,-11.522,27.593,39.115
France,2023,FRA,-12.775,22.801,35.576
French Polynesia,2023,PYF,,,
Gabon,2023,GAB,,,
"Gambia, The",2023,GMB,-3.950,44.097,48.047
Georgia,2020,GEO,-13.286,28.491,41.777
Germany,2023,DEU,-21.100,36.095,57.195
Ghana,2022,GHA,-1.504,59.178,60.682
Gibraltar,2023,GIB,,,
Greece,2023,GRC,-17.791,19.533,37.324
Greenland,2023,GRL,,,
Grenada,2020,GRD,-23.338,31.601,54.939
Guam,2023,GUM,,,
Guatemala,2022,GTM,-40.200,40.264,80.464
Guinea,2019,GIN,-17.700,31.604,49.304
Guinea-Bissau,2022,GNB,-15.131,50.745,65.876
Guyana,2019,GUY,-36.099,32.701,68.800
Haiti,2023,HTI,,,
Honduras,2023,HND,-38.596,38.527,77.123
"Hong Kong SAR, China",2023,HKG,-14.784,30.476,45.260
Hungary,2023,HUN,-18.314,25.117,43.431
Iceland,2023,ISL,-25.562,50.601,76.163
India,2023,IND,-44.944,31.719,76.663
Indonesia,2022,IDN,-29.702,48.077,77.779
"Iran, Islamic Rep.",2022,IRN,-64.644,8.295,72.939
Iraq,2021,IRQ,-47.365,4.315,51.680
Ireland,2023,IRL,-17.168,22.096,39.264
Isle of Man,2023,IMN,,,
Israel,2022,ISR,-18.176,19.051,37.227
Italy,2023,ITA,-23.247,21.080,44.327
Jamaica,2022,JAM,-24.471,41.928,66.399
Japan,2023,JPN,,,
Jordan,2022,JOR,-60.152,5.566,65.718
Kazakhstan,2023,KAZ,,,
Kenya,2021,KEN,-4.025,69.266,73.291
Kiribati,2020,KIR,-21.811,30.995,52.806
"Korea, Dem. People's Rep.",2023,PRK,,,
"Korea, Rep.",2023,KOR,-12.882,39.894,52.776
Kosovo,2022,XKX,-20.494,5.539,26.033
Kuwait,2016,KWT,-42.230,47.990,90.220
Kyrgyz Republic,2018,KGZ,-28.320,12.860,41.180
Lao PDR,2022,LAO,-7.320,65.980,73.300
Latvia,2023,LVA,-17.435,22.213,39.648
Lebanon,2019,LBN,-59.211,17.922,77.133
Lesotho,2019,LSO,-19.814,46.224,66.038
Liberia,2017,LBR,-9.435,39.413,48.848
Libya,2023,LBY,,,
Liechtenstein,2023,LIE,,,
Lithuania,2023,LTU,-14.563,16.686,31.249
Luxembourg,2023,LUX,-15.021,32.739,47.760
"Macao SAR, China",2016,MAC,-10.670,59.300,69.970
Madagascar,2015,MDG,-5.225,87.108,92.333
Malawi,2020,MWI,-9.403,64.565,73.968
Malaysia,2022,MYS,-39.590,41.360,80.950
Maldives,2019,MDV,-32.822,42.065,74.887
Mali,2020,MLI,-23.588,37.718,61.306
Malta,2023,MLT,-32.097,26.481,58.578
Marshall Islands,2021,MHL,-29.068,27.174,56.242
Mauritania,2019,MRT,-24.307,24.824,49.131
Mauritius,2022,MUS,-35.049,29.392,64.441
Mexico,2023,MEX,-34.249,40.568,74.817
"Micronesia, Fed. Sts.",2023,FSM,,,
Moldova,2023,MDA,2.929,67.649,64.720
Monaco,2016,MCO,-15.770,15.490,31.260
Mongolia,2022,MNG,-15.055,41.905,56.960
Montenegro,2021,MNE,-13.226,14.436,27.662
Morocco,2022,MAR,-49.770,11.890,61.660
Mozambique,2015,MOZ,-11.067,63.957,75.024
Myanmar,2020,MMR,-42.480,38.711,81.191
Namibia,2018,NAM,-6.987,47.174,54.161
Nauru,2021,NRU,-20.540,53.136,73.676
Nepal,2017,NPL,-30.908,27.472,58.380
Netherlands,2023,NLD,-19.716,40.093,59.809
New Caledonia,2022,NCL,-10.859,35.390,46.249
New Zealand,2020,NZL,-13.680,53.080,66.760
Nicaragua,2023,NIC,,,
Niger,2022,NER,-18.525,62.029,80.554
Nigeria,2022,NGA,-3.324,78.553,81.877
North Macedonia,2022,MKD,-29.336,15.802,45.138
Northern Mariana Islands,2023,MNP,,,
Norway,2023,NOR,-9.627,45.024,54.651
Oman,2021,OMN,-56.910,26.560,83.470
Pakistan,2021,PAK,-59.953,17.003,76.956
Palau,2020,PLW,-27.339,19.921,47.260
Panama,2023,PAN,-31.829,36.176,68.005
Papua New Guinea,2022,PNG,-1.945,48.747,50.692
Paraguay,2017,PRY,-31.091,49.172,80.263
Peru,2023,PER,-15.929,58.686,74.615
Philippines,2022,PHL,-26.855,45.461,72.316
Poland,2023,POL,-14.234,10.700,24.934
Portugal,2023,PRT,-13.713,38.093,51.806
Puerto Rico,2015,PRI,-20.750,4.950,25.700
Qatar,2022,QAT,-44.790,49.470,94.260
Romania,2023,ROU,-28.893,15.421,44.314
Russian Federation,2023,RUS,-15.692,16.437,32.129
Rwanda,2023,RWA,-11.328,59.490,70.818
Samoa,2022,WSM,-34.411,27.724,62.135
San Marino,2022,SMR,-4.480,52.900,57.380
Sao Tome and Principe,2017,STP,-2.702,23.100,25.802
Saudi Arabia,2023,SAU,-45.710,22.826,68.536
Senegal,2022,SEN,-26.898,34.163,61.061
Serbia,2022,SRB,-18.365,27.558,45.923
Seychelles,2020,SYC,-10.434,19.207,29.641
Sierra Leone,2018,SLE,-6.203,42.478,48.681
Singapore,2022,SGP,-16.448,49.327,65.775
Sint Maarten (Dutch part),2023,SXM,,,
Slovak Republic,2023,SVK,-13.179,13.340,26.519
Slovenia,2023,SVN,-17.260,18.653,35.913
Solomon Islands,2023,SLB,,,
Somalia,2019,SOM,-38.801,24.670,63.471
South Africa,2023,ZAF,-12.526,44.200,56.726
South Sudan,2023,SSD,,,
Spain,2023,ESP,-17.341,36.362,53.703
Sri Lanka,2022,LKA,-45.120,28.052,73.172
St. Kitts and Nevis,2023,KNA,,,
St. Lucia,2022,LCA,-5.048,83.257,88.305
St. Martin (French part),2023,MAF,,,
St. Vincent and the Grenadines,2023,VCT,,,
Sudan,2022,SDN,-51.909,9.892,61.801
Suriname,2016,SUR,-35.781,48.976,84.757
Sweden,2023,SWE,-12.758,39.047,51.805
Switzerland,2023,CHE,-20.108,43.267,63.375
Syrian Arab Republic,2023,SYR,,,
Tajikistan,2023,TJK,,,
Tanzania,2020,TZA,-1.812,34.335,36.147
Thailand,2023,THA,-16.734,61.345,78.079
Timor-Leste,2022,TLS,-11.324,33.356,44.680
Togo,2022,TGO,-3.376,65.107,68.483
Tonga,2021,TON,-23.130,44.400,67.530
Trinidad and Tobago,2022,TTO,-18.672,28.862,47.534
Tunisia,2023,TUN,-49.631,22.919,72.550
Turkiye,2023,TUR,-37.616,27.705,65.321
Turkmenistan,2023,TKM,,,
Turks and Caicos Islands,2023,TCA,,,
Tuvalu,2022,TUV,-30.124,21.254,51.378
Uganda,2021,UGA,-7.592,78.146,85.738
Ukraine,2021,UKR,-14.983,25.716,40.699
United Arab Emirates,2022,ARE,-20.235,71.944,92.179
United Kingdom,2023,GBR,-15.135,49.161,64.296
United States,2023,USA,-24.765,31.338,56.103
Uruguay,2023,URY,-18.671,51.826,70.497
Uzbekistan,2020,UZB,-10.965,7.863,18.828
Vanuatu,2020,VUT,-12.375,40.440,52.815
"Venezuela, RB",2017,VEN,-37.304,42.840,80.144
Vietnam,2022,VNM,-7.893,69.151,77.044
Virgin Islands (U.S.),2023,VIR,,,
West Bank and Gaza,2022,PSE,-64.423,5.671,70.094
"Yemen, Rep.",2023,YEM,,,
Zambia,2022,ZMB,-10.573,53.325,63.898
Zimbabwe,2022,ZWE,-6.491,57.051,63.542